timestamp,object_id,length_m,width_m,depth_m,height_above_baseline_m,distance_m,centroid_x,centroid_y,point_count
2026-03-21T17:53:33.451006,2,0.5720,0.0187,0.5720,2.8694,0.8197,0.7525,-0.3251,36
2026-03-21T17:53:33.451006,3,0.0955,0.0326,0.0955,2.2759,0.5975,0.5975,0.0049,10
2026-03-21T17:53:33.451006,4,0.6090,0.0137,0.6090,2.1410,0.8317,0.7478,0.3641,37
2026-03-21T17:53:33.526996,0,1.0956,1.0956,0.0187,3.1020,0.8672,0.1017,-0.8612,65
2026-03-21T17:53:33.526996,1,0.0642,0.0642,0.0452,3.0989,1.1305,0.7417,-0.8531,5
2026-03-21T17:53:33.526996,2,0.5971,0.0195,0.5971,2.8950,0.8241,0.7532,-0.3344,37
2026-03-21T17:53:33.526996,3,0.0957,0.0366,0.0957,2.2759,0.5966,0.5966,0.0050,10
2026-03-21T17:53:33.526996,4,0.6032,0.0589,0.6032,2.1591,0.8238,0.7469,0.3476,37
2026-03-21T17:53:33.592413,0,1.1875,1.1875,0.0182,3.1004,0.8723,0.1388,-0.8612,69
2026-03-21T17:53:33.592413,1,0.6224,0.0203,0.6224,2.9202,0.8278,0.7531,-0.3436,38
2026-03-21T17:53:33.592413,2,0.0954,0.0245,0.0954,2.2753,0.5966,0.5966,0.0051,10
2026-03-21T17:53:33.592413,3,0.5564,0.0117,0.5564,2.1412,0.8239,0.7478,0.3459,35
2026-03-21T17:53:33.664431,0,1.1939,1.1939,0.0436,3.1031,0.8737,0.1476,-0.8611,70
2026-03-21T17:53:33.664431,1,0.6167,0.0266,0.6167,2.9142,0.8285,0.7537,-0.3439,38
2026-03-21T17:53:33.664431,2,0.0960,0.0379,0.0960,2.2763,0.5986,0.5986,0.0049,10
2026-03-21T17:53:33.664431,3,0.6077,0.0221,0.6077,2.1424,0.8319,0.7479,0.3644,37
2026-03-21T17:53:33.734942,0,1.1914,1.1914,0.0167,3.0996,0.8722,0.1386,-0.8611,69
2026-03-21T17:53:33.734942,1,0.6475,0.0222,0.6475,2.9451,0.8319,0.7532,-0.3531,39
2026-03-21T17:53:33.734942,2,0.0959,0.0306,0.0959,2.2758,0.5976,0.5976,0.0051,10
2026-03-21T17:53:33.734942,3,0.6037,0.0147,0.6037,2.1418,0.8310,0.7471,0.3638,37
2026-03-21T17:53:33.801864,0,1.1883,1.1883,0.0183,3.1013,0.8722,0.1387,-0.8611,69
2026-03-21T17:53:33.801864,1,0.6230,0.0198,0.6230,2.9209,0.8281,0.7535,-0.3435,38
2026-03-21T17:53:33.801864,2,0.0950,0.0329,0.0950,2.2758,0.5965,0.5965,0.0049,10
2026-03-21T17:53:33.801864,3,0.6040,0.0153,0.6040,2.1415,0.8307,0.7468,0.3638,37
